Draw Date,No1,No2,No3,No4,No5,PB,Power Play,Jackpot,Winners,State1 ,State2 ,State3,State4
29th March 2003,2,9,17,25,36,8,2,$10 Million,R,,,,
26th March 2003,10,28,31,40,52,41,5,$62.4 Million,1,WV,,,
22nd March 2003,5,29,31,47,49,25,3,$54.4 Million,R,,,,
19th March 2003,19,37,40,47,51,40,5,$44.8 Million,R,,,,
15th March 2003,12,30,41,45,52,35,5,$38 Million,R,,,,
12th March 2003,5,24,25,44,52,20,3,$30.4 Million,R,,,,
8th March 2003,1,5,20,21,45,24,3,$24.1 Million,R,,,,
5th March 2003,2,24,28,37,44,6,2,$17.7 Million,R,,,,
1st March 2003,6,7,27,28,41,3,5,$12 Million,R,,,,
26th February 2003,10,23,27,31,34,11,2,$10 Million,R,,,,
22nd February 2003,2,5,6,9,10,26,2,$42 Million,2,MO,LA,,
19th February 2003,6,11,16,17,44,26,5,$33.5 Million,R,,,,
15th February 2003,1,26,29,38,42,30,2,$27 Million,R,,,,
12th February 2003,7,12,19,47,49,6,4,$19.7 Million,R,,,,
8th February 2003,2,13,20,21,23,35,5,$13.4 Million,R,,,,
5th February 2003,2,5,7,9,48,32,5,$10 Million,R,,,,
1st February 2003,2,11,16,21,39,42,5,$101 Million,2,IN,SD,,
29th January 2003,10,12,27,30,53,28,5,$86.3 Million,R,,,,
25th January 2003,10,12,15,49,51,21,5,$75.8 Million,R,,,,
22nd January 2003,20,28,30,40,43,3,3,$65.6 Million,R,,,,
18th January 2003,4,17,34,48,52,10,4,$56.5 Million,R,,,,
15th January 2003,4,17,30,42,44,15,5,$46.8 Million,R,,,,
11th January 2003,9,45,46,48,51,2,5,$38.6 Million,R,,,,
8th January 2003,16,22,26,44,46,20,3,$30 Million,R,,,,
4th January 2003,1,11,37,39,40,23,2,$22.6 Million,R,,,,
1st January 2003,18,34,42,43,53,17,5,$14.5 Million,R,,,,
29th December 2004,24,29,33,38,44,7,5,$13.9 Million,R,,,,
25th December 2004,29,32,39,45,53,16,3,$10 Million,R,,,,
22nd December 2004,2,7,11,24,31,18,5,$30.9 Million,3,AZ,NE,PA,
18th December 2004,1,25,29,30,45,12,3,$23 Million,R,,,,
15th December 2004,1,6,11,38,53,11,4,$14.8 Million,R,,,,
11th December 2004,6,7,16,41,53,23,5,$10 Million,R,,,,
8th December 2004,13,17,35,45,50,2,2,$171 Million,1,PA,,,
4th December 2004,6,9,16,22,30,4,4,$147 Million,R,,,,
1st December 2004,3,28,36,38,44,1,4,$126 Million,R,,,,
27th November 2004,16,28,35,36,47,31,2,$109 Million,R,,,,
24th November 2004,3,19,47,49,53,4,4,$95.9 Million,R,,,,
20th November 2004,4,29,45,48,50,1,2,$83.2 Million,R,,,,
17th November 2004,15,25,31,36,46,37,2,$72.1 Million,R,,,,
13th November 2004,5,6,26,33,34,13,5,$62.4 Million,R,,,,
10th November 2004,14,21,29,43,45,26,2,$52.7 Million,R,,,,
6th November 2004,18,22,33,38,40,19,3,$44.4 Million,R,,,,
3rd November 2004,11,35,43,45,48,42,4,$35.5 Million,R,,,,
30th October 2004,20,27,30,40,48,11,2,$28.3 Million,R,,,,
27th October 2004,11,17,40,44,51,21,5,$20.3 Million,R,,,,
23rd October 2004,15,24,49,50,52,40,5,$13.6 Million,R,,,,
20th October 2004,1,11,17,41,46,24,5,$10 Million,R,,,,
16th October 2004,5,20,22,36,42,11,2,$14.4 Million,1,IA,,,
13th October 2004,5,14,17,45,46,41,4,$10 Million,R,,,,
9th October 2004,1,3,10,47,48,27,3,$214 Million,1,DE,,,
6th October 2004,5,6,19,44,50,28,4,$177 Million,R,,,,
2nd October 2004,2,13,29,32,35,4,4,$151 Million,R,,,,
29th September 2004,16,28,33,35,37,17,3,$128 Million,R,,,,
25th September 2004,11,25,40,41,48,3,5,$111 Million,R,,,,
22nd September 2004,6,14,34,37,40,7,5,$95.7 Million,R,,,,
18th September 2004,2,14,27,31,36,9,4,$83.3 Million,R,,,,
15th September 2004,1,8,17,28,50,20,4,$72.7 Million,R,,,,
11th September 2004,25,34,36,46,49,9,2,$62.9 Million,R,,,,
8th September 2004,2,4,28,33,52,18,3,$53.5 Million,R,,,,
4th September 2004,13,15,25,26,46,28,2,$45.4 Million,R,,,,
1st September 2004,31,33,44,45,51,31,4,$36.1 Million,R,,,,
28th August 2004,6,30,35,39,45,31,3,$28.7 Million,R,,,,
25th August 2004,1,30,32,37,50,19,5,$20.8 Million,R,,,,
21st August 2004,3,16,27,39,40,3,5,$13.9 Million,R,,,,
18th August 2004,31,33,35,40,42,40,2,$10 Million,R,,,,
14th August 2004,4,10,11,18,43,41,3,$98.7 Million,1,MN,,,
11th August 2004,5,10,29,33,51,35,5,$84.2 Million,R,,,,
7th August 2004,8,9,16,34,48,8,5,$73 Million,R,,,,
4th August 2004,11,22,26,37,51,21,5,$64.1 Million,R,,,,
31st July 2004,14,31,35,45,47,35,3,$54.6 Million,R,,,,
28th July 2004,4,19,39,40,50,22,3,$44.4 Million,R,,,,
24th July 2004,2,3,13,29,52,25,4,$36.5 Million,R,,,,
21st July 2004,3,31,38,42,46,2,5,$28.1 Million,R,,,,
17th July 2004,20,23,36,45,50,9,3,$21 Million,R,,,,
14th July 2004,9,24,45,49,50,37,3,$13.5 Million,R,,,,
10th July 2004,16,17,23,26,44,13,4,$10 Million,R,,,,
7th July 2004,18,25,30,34,41,10,5,$21.1 Million,1,MN,,,
3rd July 2004,3,8,12,30,47,23,4,$14.4 Million,R,,,,
30th June 2004,2,29,31,45,47,4,5,$10 Million,R,,,,
26th June 2004,9,17,32,41,47,8,5,$65.8 Million,1,SC,,,
23rd June 2004,9,12,16,20,39,1,5,$55.8 Million,R,,,,
19th June 2004,2,9,36,37,48,16,2,$47.1 Million,R,,,,
16th June 2004,16,18,26,39,48,22,5,$38.2 Million,R,,,,
12th June 2004,6,20,43,48,52,28,3,$30.3 Million,R,,,,
9th June 2004,1,31,33,37,50,40,2,$21.8 Million,R,,,,
5th June 2004,5,26,39,41,42,39,5,$14.6 Million,R,,,,
2nd June 2004,5,6,12,26,29,30,5,$10 Million,R,,,,
29th May 2004,1,16,30,32,39,2,5,$52 Million,1,PA,,,
26th May 2004,3,10,31,35,38,16,2,$42 Million,R,,,,
22nd May 2004,1,7,36,42,49,41,5,$33.2 Million,R,,,,
19th May 2004,14,15,31,37,41,31,5,$24.2 Million,R,,,,
15th May 2004,1,26,27,43,46,31,2,$16.2 Million,R,,,,
12th May 2004,11,31,35,42,45,35,4,$10 Million,R,,,,
8th May 2004,3,9,17,37,43,39,4,$213 Million,1,PA,,,
5th May 2004,9,16,21,25,32,8,3,$172 Million,R,,,,
1st May 2004,1,10,34,39,47,33,3,$145 Million,R,,,,
28th April 2004,27,34,42,49,52,23,2,$122 Million,R,,,,
24th April 2004,2,13,22,35,44,28,2,$106 Million,R,,,,
21st April 2004,8,11,34,42,51,27,4,$90 Million,R,,,,
17th April 2004,4,29,34,41,42,11,5,$77.9 Million,R,,,,
14th April 2004,1,6,20,22,38,22,3,$64.9 Million,R,,,,
10th April 2004,2,9,30,47,48,40,2,$56.6 Million,R,,,,
7th April 2004,2,7,16,35,37,10,5,$47.8 Million,R,,,,
3rd April 2004,6,7,26,32,43,13,3,$40.4 Million,R,,,,
31st March 2004,15,31,34,39,50,35,3,$31.5 Million,R,,,,
27th March 2004,2,15,17,30,34,32,2,$25 Million,R,,,,
24th March 2004,18,20,39,43,47,31,5,$18.1 Million,R,,,,
20th March 2004,2,14,24,27,44,6,5,$12.2 Million,R,,,,
17th March 2004,7,15,20,24,43,5,4,$10 Million,R,,,,
13th March 2004,11,44,45,48,50,2,3,$89 Million,1,IN,,,
10th March 2004,10,20,22,41,49,6,5,$77.8 Million,R,,,,
6th March 2004,9,17,46,49,51,9,5,$68.4 Million,R,,,,
3rd March 2004,5,11,17,23,53,34,2,$60.1 Million,R,,,,
28th February 2004,6,25,26,52,53,40,2,$51.6 Million,R,,,,
25th February 2004,4,5,11,17,47,35,5,$42.9 Million,R,,,,
21st February 2004,15,22,26,48,53,14,5,$35.4 Million,R,,,,
18th February 2004,4,24,36,44,50,2,4,$26.9 Million,R,,,,
14th February 2004,10,24,25,35,43,32,5,$20.3 Million,R,,,,
11th February 2004,5,16,28,50,52,4,4,$13.3 Million,R,,,,
7th February 2004,31,34,35,39,46,3,2,$10 Million,R,,,,
4th February 2004,7,12,17,25,32,33,2,$85.5 Million,1,NH,,,
31st January 2004,3,6,27,37,41,38,4,$75 Million,R,,,,
28th January 2004,8,13,17,39,48,34,4,$63.2 Million,R,,,,
24th January 2004,1,5,37,38,53,31,3,$54.9 Million,R,,,,
21st January 2004,13,17,34,41,45,17,4,$45.8 Million,R,,,,
17th January 2004,8,9,32,45,48,15,5,$37.7 Million,R,,,,
14th January 2004,12,33,40,44,50,40,5,$29.2 Million,R,,,,
10th January 2004,2,13,19,27,50,5,5,$21.8 Million,R,,,,
7th January 2004,4,7,14,18,44,25,3,$14.1 Million,R,,,,
3rd January 2004,4,5,22,41,42,2,4,$10 Million,R,,,,
31st December 2005,4,30,37,43,46,42,2,$39.9 Million,R,,,,
28th December 2005,12,15,30,46,54,1,3,$31 Million,R,,,,
24th December 2005,4,10,33,34,50,14,2,$25 Million,R,,,,
21st December 2005,9,12,16,23,43,37,3,$20 Million,R,,,,
17th December 2005,24,36,44,46,53,18,5,$15 Million,R,,,,
14th December 2005,8,15,16,45,51,11,5,$113 Million,1,IA,,,
10th December 2005,3,21,34,42,45,39,4,$100 Million,R,,,,
7th December 2005,19,30,41,45,54,14,5,$88 Million,R,,,,
3rd December 2005,2,15,26,37,42,36,3,$77.5 Million,R,,,,
30th November 2005,19,23,27,42,52,1,5,$66.5 Million,R,,,,
26th November 2005,28,34,37,45,53,32,5,$57.3 Million,R,,,,
23rd November 2005,9,12,24,25,27,33,4,$48.5 Million,R,,,,
19th November 2005,8,15,20,41,54,22,3,$39.7 Million,R,,,,
16th November 2005,5,18,20,21,44,27,3,$31 Million,R,,,,
12th November 2005,17,37,41,48,55,39,4,$25 Million,R,,,,
9th November 2005,5,13,14,31,49,30,2,$20 Million,R,,,,
5th November 2005,7,25,29,37,50,17,4,$15 Million,R,,,,
2nd November 2005,6,11,14,27,41,38,5,$36 Million,1,MO,,,
29th October 2005,14,19,22,41,50,21,4,$27.2 Million,R,,,,
26th October 2005,2,10,39,42,43,23,3,$20 Million,R,,,,
22nd October 2005,6,7,36,51,53,17,5,$15 Million,R,,,,
19th October 2005,7,21,43,44,49,29,5,$340 Million,1,OR,,,
15th October 2005,1,7,8,34,45,15,3,$305 Million,R,,,,
12th October 2005,4,9,18,51,54,10,5,$247 Million,R,,,,
8th October 2005,26,31,35,46,50,28,5,$210 Million,R,,,,
5th October 2005,2,15,25,30,45,17,5,$178 Million,R,,,,
1st October 2005,8,18,38,45,54,23,5,$167 Million,R,,,,
28th September 2005,7,22,27,48,50,17,2,$142 Million,R,,,,
24th September 2005,2,10,31,43,55,14,5,$126 Million,R,,,,
21st September 2005,3,28,34,35,50,8,3,$109 Million,R,,,,
17th September 2005,5,9,27,49,52,6,2,$95.3 Million,R,,,,
14th September 2005,21,24,42,49,50,1,4,$81.1 Million,R,,,,
10th September 2005,8,10,11,48,50,16,4,$70.9 Million,R,,,,
7th September 2005,12,32,40,50,54,37,3,$60.2 Million,R,,,,
3rd September 2005,1,3,30,31,43,36,4,$52 Million,R,,,,
31st August 2005,13,17,19,41,50,13,2,$43.5 Million,R,,,,
27th August 2005,8,22,31,39,44,11,5,$32 Million,R,,,,
24th August 2005,9,11,26,35,51,32,5,$25 Million,R,,,,
20th August 2005,13,27,28,29,49,36,4,$18.8 Million,R,,,,
17th August 2005,3,8,30,43,53,15,5,$12.3 Million,R,,,,
13th August 2005,1,2,18,37,43,37,4,$10 Million,R,,,,
10th August 2005,13,31,36,38,49,2,5,$93.4 Million,1,NM,,,
6th August 2005,1,9,19,36,53,33,3,$82.4 Million,R,,,,
3rd August 2005,5,19,24,28,39,24,5,$71 Million,R,,,,
30th July 2005,8,14,35,38,46,24,5,$62 Million,R,,,,
27th July 2005,1,4,10,13,29,3,5,$53.4 Million,R,,,,
23rd July 2005,13,16,20,28,32,36,5,$46.2 Million,R,,,,
20th July 2005,6,7,32,39,51,31,2,$38 Million,R,,,,
16th July 2005,8,32,33,41,50,22,5,$31.6 Million,R,,,,
13th July 2005,4,5,13,23,43,34,4,$24.1 Million,R,,,,
9th July 2005,8,9,39,47,53,4,5,$18.1 Million,R,,,,
6th July 2005,2,12,25,30,48,38,4,$12 Million,R,,,,
2nd July 2005,9,10,29,39,52,20,4,$10 Million,R,,,,
29th June 2005,3,8,22,42,49,39,5,$10 Million,1,WV,,,
25th June 2005,7,28,31,32,40,14,2,$59.5 Million,1,CT,,,
22nd June 2005,9,13,23,42,51,15,5,$51.4 Million,R,,,,
18th June 2005,5,8,10,16,24,5,5,$43.6 Million,R,,,,
15th June 2005,14,20,22,39,44,14,5,$34.8 Million,R,,,,
11th June 2005,3,10,14,24,46,37,3,$27.7 Million,R,,,,
8th June 2005,10,36,40,42,43,42,5,$20.1 Million,R,,,,
4th June 2005,7,16,38,44,48,18,4,$13.5 Million,R,,,,
1st June 2005,15,34,39,42,50,12,2,$10 Million,R,,,,
28th May 2005,5,7,24,28,39,36,4,$220 Million,1,ID,,,
25th May 2005,27,29,31,42,46,33,2,$182 Million,R,,,,
21st May 2005,2,5,7,10,30,23,2,$153 Million,R,,,,
18th May 2005,7,13,17,20,35,35,5,$130 Million,R,,,,
14th May 2005,21,29,38,49,52,42,2,$112 Million,R,,,,
11th May 2005,5,25,46,48,49,6,5,$96.6 Million,R,,,,
7th May 2005,21,23,39,44,47,19,2,$84.2 Million,R,,,,
4th May 2005,10,21,27,33,40,2,2,$72.3 Million,R,,,,
30th April 2005,8,15,17,32,48,24,4,$62.8 Million,R,,,,
27th April 2005,11,13,18,32,42,4,5,$54.2 Million,R,,,,
23rd April 2005,8,9,13,15,50,9,3,$46.3 Million,R,,,,
20th April 2005,7,16,33,34,46,27,5,$38.4 Million,R,,,,
16th April 2005,11,38,44,45,51,41,2,$31.8 Million,R,,,,
13th April 2005,6,13,37,51,52,25,5,$24.9 Million,R,,,,
9th April 2005,1,11,35,46,53,29,3,$18.7 Million,R,,,,
6th April 2005,5,11,14,22,51,17,3,$12 Million,R,,,,
2nd April 2005,5,9,11,17,46,39,5,$10 Million,R,,,,
30th March 2005,22,28,32,33,39,42,5,$25.5 Million,1,TN,,,
26th March 2005,9,12,35,41,51,36,5,$19.1 Million,R,,,,
23rd March 2005,23,29,37,40,45,38,5,$12.1 Million,R,,,,
19th March 2005,1,21,28,32,41,9,4,$10 Million,R,,,,
16th March 2005,11,19,25,38,50,35,2,$18.7 Million,1,PA,,,
12th March 2005,7,23,40,46,52,41,5,$12.4 Million,R,,,,
9th March 2005,10,17,20,23,45,31,3,$10 Million,R,,,,
5th March 2005,9,13,27,40,53,28,2,$19.8 Million,1,IN,,,
2nd March 2005,3,10,18,46,48,8,5,$12.3 Million,R,,,,
26th February 2005,8,22,30,33,49,6,5,$10 Million,R,,,,
23rd February 2005,4,10,15,48,51,13,4,$18.5 Million,1,ID,,,
19th February 2005,12,15,18,27,52,36,3,$12.6 Million,R,,,,
16th February 2005,21,25,27,41,48,25,5,$10 Million,R,,,,
12th February 2005,18,21,28,49,50,16,5,$40.6 Million,1,LA,,,
9th February 2005,9,10,15,18,29,9,5,$32.6 Million,R,,,,
5th February 2005,11,34,37,44,47,23,5,$25.7 Million,R,,,,
2nd February 2005,10,11,16,40,44,2,5,$18.4 Million,R,,,,
29th January 2005,11,16,20,29,41,12,5,$12.2 Million,R,,,,
26th January 2005,5,32,43,47,48,33,2,$10 Million,R,,,,
22nd January 2005,11,23,32,33,34,38,4,$26.4 Million,1,PA,,,
19th January 2005,9,18,32,33,49,27,3,$19.1 Million,R,,,,
15th January 2005,21,26,37,49,51,25,5,$12.9 Million,R,,,,
12th January 2005,21,23,27,38,50,38,5,$10 Million,R,,,,
8th January 2005,9,11,22,24,43,2,4,$36.8 Million,1,WI,,,
5th January 2005,4,7,10,30,37,37,5,$28.9 Million,R,,,,
1st January 2005,22,23,26,44,47,12,5,$21.7 Million,R,,,,
30th December 2006,9,23,28,31,36,26,5,$89 Million,R,,,,
27th December 2006,14,16,27,29,41,29,3,$75.4 Million,R,,,,
23rd December 2006,8,27,43,52,53,5,5,$65.6 Million,R,,,,
20th December 2006,1,6,14,26,34,34,5,$54.1 Million,R,,,,
16th December 2006,5,17,28,36,51,5,4,$44.5 Million,R,,,,
13th December 2006,19,32,33,42,54,15,3,$33.8 Million,R,,,,
9th December 2006,19,22,30,34,52,40,4,$25.2 Million,R,,,,
6th December 2006,7,34,35,36,38,14,4,$20 Million,R,,,,
2nd December 2006,17,34,42,45,50,11,3,$15 Million,R,,,,
29th November 2006,2,8,9,12,19,25,3,$74.5 Million,1,NC,,,
25th November 2006,5,18,28,49,55,38,5,$64.5 Million,R,,,,
22nd November 2006,22,32,36,49,55,8,5,$54.6 Million,R,,,,
18th November 2006,1,8,19,36,42,20,2,$45 Million,R,,,,
15th November 2006,11,28,30,34,43,29,3,$35.5 Million,R,,,,
11th November 2006,35,38,40,49,55,41,2,$26.9 Million,R,,,,
8th November 2006,8,11,12,26,53,4,4,$20 Million,R,,,,
4th November 2006,12,13,34,39,44,5,5,$15 Million,R,,,,
1st November 2006,7,8,13,46,54,35,2,$94.1 Million,2,MN,AZ,,
28th October 2006,14,22,30,38,41,12,5,$81.7 Million,R,,,,
25th October 2006,16,40,42,43,48,1,5,$69.9 Million,R,,,,
21st October 2006,9,29,31,45,55,7,4,$59.2 Million,R,,,,
18th October 2006,2,24,34,41,48,24,3,$47.6 Million,R,,,,
14th October 2006,1,15,17,26,40,19,2,$38.1 Million,R,,,,
11th October 2006,5,10,12,35,38,9,4,$27.1 Million,R,,,,
7th October 2006,3,4,8,31,45,12,5,$20 Million,R,,,,
4th October 2006,3,7,27,39,40,8,5,$15 Million,R,,,,
30th September 2006,6,15,30,32,39,5,5,$15 Million,1,LA,,,
27th September 2006,23,28,33,35,49,16,3,$15 Million,1,KS,,,
23rd September 2006,13,21,26,45,50,20,4,$200 Million,1,IA,,,
20th September 2006,7,8,17,29,54,26,2,$178 Million,R,,,,
16th September 2006,7,8,26,27,42,12,5,$158 Million,R,,,,
13th September 2006,15,19,26,45,47,3,4,$136 Million,R,,,,
9th September 2006,3,19,20,22,47,2,2,$119 Million,R,,,,
6th September 2006,2,21,27,35,55,1,4,$103 Million,R,,,,
2nd September 2006,3,8,24,28,49,25,4,$88.8 Million,R,,,,
30th August 2006,3,19,33,35,43,1,4,$75.8 Million,R,,,,
26th August 2006,24,26,38,42,46,16,5,$63.9 Million,R,,,,
23rd August 2006,8,17,24,38,51,31,5,$51.9 Million,R,,,,
19th August 2006,12,22,26,29,51,9,3,$40.9 Million,R,,,,
16th August 2006,2,13,22,48,50,2,4,$29.5 Million,R,,,,
12th August 2006,13,14,18,27,54,32,5,$20 Million,R,,,,
9th August 2006,16,19,41,43,52,35,2,$15 Million,R,,,,
5th August 2006,2,3,9,48,50,23,2,$208 Million,1,WI,,,
2nd August 2006,10,13,16,19,24,15,4,$179 Million,R,,,,
29th July 2006,14,19,26,39,55,29,4,$157 Million,R,,,,
26th July 2006,5,10,17,24,43,31,4,$136 Million,R,,,,
22nd July 2006,14,40,47,54,55,6,4,$118 Million,R,,,,
19th July 2006,2,32,38,44,50,21,4,$101 Million,R,,,,
15th July 2006,20,35,36,47,50,5,4,$86.7 Million,R,,,,
12th July 2006,18,19,30,31,33,15,5,$74.4 Million,R,,,,
8th July 2006,32,37,44,49,50,13,4,$62.5 Million,R,,,,
5th July 2006,26,39,41,52,53,20,2,$50.7 Million,R,,,,
1st July 2006,2,31,35,40,42,34,3,$40.5 Million,R,,,,
28th June 2006,2,8,16,45,51,32,5,$29.2 Million,R,,,,
24th June 2006,8,11,30,39,47,23,3,$20 Million,R,,,,
21st June 2006,11,19,22,43,45,34,3,$15 Million,R,,,,
17th June 2006,10,20,22,39,48,25,4,$101 Million,1,OK,,,
14th June 2006,4,14,15,40,48,12,3,$85.5 Million,R,,,,
10th June 2006,16,24,26,36,54,11,3,$73 Million,R,,,,
7th June 2006,4,10,20,26,40,8,5,$61.3 Million,R,,,,
3rd June 2006,5,6,18,20,50,35,5,$49.7 Million,R,,,,
31st May 2006,10,20,22,43,49,3,5,$37.7 Million,R,,,,
27th May 2006,6,23,27,41,47,19,3,$27.7 Million,R,,,,
24th May 2006,2,3,12,47,51,10,3,$20 Million,R,,,,
20th May 2006,2,9,23,44,45,38,2,$15 Million,R,,,,
17th May 2006,15,17,24,26,35,38,4,$116 Million,1,SD,,,
13th May 2006,19,28,30,47,54,13,3,$100 Million,R,,,,
10th May 2006,3,4,11,37,44,24,3,$85.2 Million,R,,,,
6th May 2006,12,23,25,32,38,27,2,$73.2 Million,R,,,,
3rd May 2006,4,6,19,38,42,37,2,$61.4 Million,R,,,,
29th April 2006,19,30,35,40,41,14,5,$50.4 Million,R,,,,
26th April 2006,12,24,26,48,55,14,4,$38.7 Million,R,,,,
22nd April 2006,4,5,6,18,27,24,5,$29.1 Million,R,,,,
19th April 2006,5,28,32,34,53,10,4,$20 Million,R,,,,
15th April 2006,13,18,23,28,46,33,3,$15 Million,R,,,,
12th April 2006,16,26,34,35,41,24,4,$224 Million,1,MO,,,
8th April 2006,4,23,35,43,44,35,3,$198 Million,R,,,,
5th April 2006,3,9,24,29,39,42,2,$173 Million,R,,,,
1st April 2006,1,10,23,50,55,29,3,$154 Million,R,,,,
29th March 2006,2,14,24,28,54,13,2,$132 Million,R,,,,
25th March 2006,20,34,37,39,45,32,4,$117 Million,R,,,,
22nd March 2006,18,22,23,38,45,31,2,$101 Million,R,,,,
18th March 2006,1,25,34,36,42,19,2,$87.7 Million,R,,,,
15th March 2006,7,12,36,48,54,37,5,$75 Million,R,,,,
11th March 2006,16,35,37,52,54,33,10,$63.5 Million,R,,,,
8th March 2006,1,5,7,21,43,20,5,$50.7 Million,R,,,,
4th March 2006,13,22,27,52,55,26,5,$40.4 Million,R,,,,
1st March 2006,10,25,35,38,41,23,5,$29.2 Million,R,,,,
25th February 2006,3,37,46,48,51,22,4,$20 Million,R,,,,
22nd February 2006,9,23,47,53,55,39,2,$15 Million,R,,,,
18th February 2006,15,17,43,44,48,29,4,$365 Million,1,NE,,,
15th February 2006,3,13,35,39,40,37,5,$308 Million,R,,,,
11th February 2006,7,38,40,51,52,14,4,$251 Million,R,,,,
8th February 2006,14,25,32,48,54,10,5,$213 Million,R,,,,
4th February 2006,4,12,13,30,38,30,4,$183 Million,R,,,,
1st February 2006,11,13,30,35,55,37,4,$157 Million,R,,,,
28th January 2006,14,15,26,28,36,36,3,$137 Million,R,,,,
25th January 2006,10,37,43,50,52,14,5,$117 Million,R,,,,
21st January 2006,3,18,39,43,54,41,3,$103 Million,R,,,,
18th January 2006,15,29,38,52,53,7,2,$87.8 Million,R,,,,
14th January 2006,6,14,40,46,49,17,5,$77 Million,R,,,,
11th January 2006,3,6,14,17,18,14,2,$65.4 Million,R,,,,
7th January 2006,2,16,21,32,43,6,4,$56.4 Million,R,,,,
4th January 2006,10,23,42,48,54,3,4,$47.6 Million,R,,,,
29th December 2007,8,12,17,35,49,18,4,$43.8 Million,R,,,,
26th December 2007,8,32,41,54,55,20,3,$33.3 Million,R,,,,
22nd December 2007,5,10,11,34,38,21,4,$25.1 Million,R,,,,
19th December 2007,15,18,22,23,42,37,3,$20 Million,R,,,,
15th December 2007,22,37,47,48,50,17,3,$15 Million,R,,,,
12th December 2007,7,14,33,40,55,15,5,$33.6 Million,1,KY,,,
8th December 2007,4,8,25,29,31,41,3,$25.4 Million,R,,,,
5th December 2007,1,8,15,21,55,41,3,$20 Million,R,,,,
1st December 2007,7,32,39,41,55,13,2,$15 Million,R,,,,
28th November 2007,8,23,32,37,39,38,3,$151 Million,1,RI,,,
24th November 2007,1,7,13,23,35,19,5,$135 Million,R,,,,
21st November 2007,3,11,13,20,40,20,2,$121 Million,R,,,,
17th November 2007,17,27,49,52,53,23,3,$106 Million,R,,,,
14th November 2007,16,18,20,30,48,6,2,$95.9 Million,R,,,,
10th November 2007,6,22,24,26,30,12,4,$84.1 Million,R,,,,
7th November 2007,22,29,35,46,52,2,5,$71.2 Million,R,,,,
3rd November 2007,1,31,38,40,53,42,2,$61.2 Million,R,,,,
31st October 2007,6,16,18,29,37,24,2,$51.3 Million,R,,,,
27th October 2007,13,25,30,40,43,12,4,$42.4 Million,R,,,,
24th October 2007,10,11,18,49,52,2,4,$33.8 Million,R,,,,
20th October 2007,10,11,37,40,54,10,3,$25.5 Million,R,,,,
17th October 2007,14,15,19,42,46,37,4,$20 Million,R,,,,
13th October 2007,21,30,34,36,49,42,3,$15 Million,R,,,,
10th October 2007,12,16,31,33,54,5,4,$20 Million,1,CO,,,
6th October 2007,8,30,32,33,51,2,3,$15 Million,R,,,,
3rd October 2007,2,4,14,15,28,23,4,$15 Million,1,CT,,,
29th September 2007,31,33,38,49,55,39,3,$15 Million,1,LA,,,
26th September 2007,25,27,31,44,54,8,2,$61.5 Million,1,KY,,,
22nd September 2007,4,9,18,43,55,3,3,$50.6 Million,R,,,,
19th September 2007,20,25,26,45,46,15,3,$38.1 Million,R,,,,
15th September 2007,13,16,27,48,51,21,5,$28.6 Million,R,,,,
12th September 2007,5,24,26,33,47,1,4,$20 Million,R,,,,
8th September 2007,7,12,28,30,48,40,2,$15 Million,R,,,,
5th September 2007,11,20,21,30,48,18,2,$29.1 Million,1,WI,,,
1st September 2007,12,19,23,37,39,13,4,$20 Million,R,,,,
29th August 2007,13,16,33,44,47,29,3,$15 Million,R,,,,
25th August 2007,2,8,23,29,35,19,3,$314 Million,1,IN,,,
22nd August 2007,12,37,40,48,50,37,4,$252 Million,R,,,,
18th August 2007,12,15,28,31,50,12,5,$214 Million,R,,,,
15th August 2007,19,22,24,38,51,9,2,$183 Million,R,,,,
11th August 2007,1,10,11,37,40,20,4,$160 Million,R,,,,
8th August 2007,9,16,21,30,52,9,2,$140 Million,R,,,,
4th August 2007,2,23,24,27,36,3,2,$123 Million,R,,,,
1st August 2007,9,16,23,51,52,12,5,$107 Million,R,,,,
28th July 2007,15,19,24,27,47,11,5,$93.1 Million,R,,,,
25th July 2007,28,35,40,47,53,30,5,$81.6 Million,R,,,,
21st July 2007,14,30,39,43,46,14,4,$70.6 Million,R,,,,
18th July 2007,3,9,14,40,42,3,4,$59.9 Million,R,,,,
14th July 2007,1,21,30,34,36,37,5,$50.1 Million,R,,,,
11th July 2007,8,20,29,42,43,35,5,$39.4 Million,R,,,,
7th July 2007,15,21,27,41,47,20,3,$30.2 Million,R,,,,
4th July 2007,1,2,15,17,49,35,5,$20 Million,R,,,,
30th June 2007,24,38,39,46,47,26,3,$15 Million,R,,,,
27th June 2007,9,11,13,24,43,18,4,$105 Million,1,OK,,,
23rd June 2007,14,15,27,43,53,28,4,$91.4 Million,R,,,,
20th June 2007,23,31,32,37,55,35,3,$76.8 Million,R,,,,
16th June 2007,4,8,32,47,51,27,5,$65.8 Million,R,,,,
13th June 2007,10,13,28,30,47,26,3,$54.8 Million,R,,,,
9th June 2007,7,10,25,32,41,22,2,$45 Million,R,,,,
6th June 2007,5,9,14,45,48,28,4,$33.7 Million,R,,,,
2nd June 2007,2,22,32,36,47,36,5,$25.1 Million,R,,,,
30th May 2007,7,23,35,54,55,28,2,$20 Million,R,,,,
26th May 2007,1,5,21,46,51,29,4,$15 Million,R,,,,
23rd May 2007,3,11,24,36,38,6,4,$62.8 Million,1,NM,,,
